gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
cooperative,Stackelberg,1,0,0.1913599967956543,3,-0.04624999999999968,-0.04624999999999968,0.9,0.0
cooperative,Stackelberg,1,1,0.1913599967956543,4,-0.04624999999999968,-0.04624999999999968,0.54,0.0
cooperative,Stackelberg,1,2,0.1913599967956543,4,-0.04624999999999968,-0.04624999999999968,0.324,0.0
cooperative,Stackelberg,1,3,0.1913599967956543,4,-0.04624999999999968,-0.04624999999999968,0.1944,0.0
cooperative,Stackelberg,1,4,0.1913599967956543,4,-0.04624999999999968,-0.04624999999999968,0.11664,0.0
cooperative,State of the Art,1,0,0.008597135543823242,3,-0.04624999999999968,-0.04624999999999968,0.9,0.0
cooperative,State of the Art,1,1,0.008597135543823242,4,-0.04624999999999968,-0.04624999999999968,0.54,0.0
cooperative,State of the Art,1,2,0.008597135543823242,4,-0.04624999999999968,-0.04624999999999968,0.324,0.0
cooperative,State of the Art,1,3,0.008597135543823242,4,-0.04624999999999968,-0.04624999999999968,0.1944,0.0
cooperative,State of the Art,1,4,0.008597135543823242,4,-0.04624999999999968,-0.04624999999999968,0.11664,0.0
cooperative,Stackelberg,2,0,0.3168480396270752,5,-0.8650406250000002,-0.8650406250000002,0.9,0.0
cooperative,Stackelberg,2,1,0.3168480396270752,7,-0.44237812499999984,-0.44237812499999984,0.54,0.0
cooperative,Stackelberg,2,2,0.3168480396270752,7,-0.44237812499999984,-0.44237812499999984,0.324,0.0
cooperative,Stackelberg,2,3,0.3168480396270752,7,-0.44237812499999984,-0.44237812499999984,0.1944,0.0
cooperative,Stackelberg,2,4,0.3168480396270752,7,-0.44237812499999984,-0.44237812499999984,0.11664,0.0
cooperative,State of the Art,2,0,0.0182797908782959,5,-0.8650406250000002,-0.8650406250000002,0.9,0.0
cooperative,State of the Art,2,1,0.0182797908782959,7,-0.44237812499999984,-0.44237812499999984,0.54,0.0
cooperative,State of the Art,2,2,0.0182797908782959,7,-0.44237812499999984,-0.44237812499999984,0.324,0.0
cooperative,State of the Art,2,3,0.0182797908782959,7,-0.44237812499999984,-0.44237812499999984,0.1944,0.0
cooperative,State of the Art,2,4,0.0182797908782959,7,-0.44237812499999984,-0.44237812499999984,0.11664,0.0
