gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,ave_leader_value_b0,ave_follower_value_b0
zerosum,Stackelberg,1,2,0.12116575241088867,4,[-88.22274983811785],[88.22274983811785]
zerosum,State of the Art,1,2,0.09074783325195312,4,[-89.4888990937628],[-89.4888990937628]
zerosum,Stackelberg,2,2,0.12448787689208984,7,[-125.25059326342148],[125.25059326342148]
zerosum,State of the Art,2,2,0.1487879753112793,7,[-135.3199844717268],[-135.3199844717268]
zerosum,Stackelberg,3,2,0.2146470546722412,10,[-156.27546805333853],[156.27546805333853]
zerosum,State of the Art,3,2,0.2900822162628174,10,[-169.5352474486989],[-169.5352474486989]
stackelberg,Stackelberg,1,2,0.13921427726745605,4,[3.468480039267017],[-78.47541939354277]
stackelberg,State of the Art,1,2,0.10674691200256348,4,[2.4107554144557923],[-52.611111111111114]
stackelberg,Stackelberg,2,2,0.11711263656616211,7,[3.9693230048356627],[-113.57303189445173]
stackelberg,State of the Art,2,2,0.2395329475402832,7,[2.7442729666996524],[-52.611111111111114]
stackelberg,Stackelberg,3,2,0.1665809154510498,10,[7.622631326420706],[-152.30618626648396]
stackelberg,State of the Art,3,2,0.23754405975341797,10,[5.50628856748823],[-52.611111111111114]
