gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
cooperative,Stackelberg,1,0,0.22226905822753906,3,7.500000000000001,7.500000000000001,0.9,0.0
cooperative,Stackelberg,1,1,0.22226905822753906,4,10.815000000000001,10.815000000000001,0.54,0.0
cooperative,State of the Art,1,0,0.015508890151977539,3,7.500000000000001,7.500000000000001,0.9,0.0
cooperative,State of the Art,1,1,0.015508890151977539,4,10.815000000000001,10.815000000000001,0.54,0.0
cooperative,Stackelberg,2,0,0.32444095611572266,5,11.7475,11.7475,0.9,0.0
cooperative,Stackelberg,2,1,0.32444095611572266,7,13.015487500000003,13.015487500000003,0.54,0.0
cooperative,State of the Art,2,0,0.029313087463378906,5,11.7475,11.7475,0.9,0.0
cooperative,State of the Art,2,1,0.029313087463378906,7,13.015487500000003,13.015487500000003,0.54,0.0
cooperative,Stackelberg,3,0,0.4684939384460449,7,9.747500000000002,9.747500000000002,0.9,0.0
cooperative,Stackelberg,3,1,0.4684939384460449,10,22.647234843750002,22.647234843750002,0.54,0.0
cooperative,State of the Art,3,0,0.04295802116394043,7,9.747500000000002,9.747500000000002,0.9,0.0
cooperative,State of the Art,3,1,0.04295802116394043,10,22.647234843750002,22.647234843750002,0.54,0.0
cooperative,Stackelberg,4,0,0.619948148727417,9,7.7475000000000005,7.7475000000000005,0.9,0.0
cooperative,Stackelberg,4,1,0.619948148727417,13,26.639141291406258,26.639141291406258,0.54,0.0
cooperative,State of the Art,4,0,0.056611061096191406,9,7.7475000000000005,7.7475000000000005,0.9,0.0
cooperative,State of the Art,4,1,0.056611061096191406,13,26.639141291406258,26.639141291406258,0.54,0.0
zerosum,Stackelberg,1,0,0.21937084197998047,3,-88.22274983811785,88.22274983811785,0.9,176.4454996762357
zerosum,Stackelberg,1,1,0.21937084197998047,4,-88.22274983811785,88.22274983811785,0.54,176.4454996762357
zerosum,State of the Art,1,0,0.2604811191558838,3,-88.22274983811785,-88.22274983811785,0.9,0.0
zerosum,State of the Art,1,1,0.2604811191558838,4,-88.22274983811785,-88.22274983811785,0.54,0.0
zerosum,Stackelberg,2,0,0.34448814392089844,5,-125.25059326342148,125.25059326342148,0.9,250.50118652684296
zerosum,Stackelberg,2,1,0.34448814392089844,7,-125.25059326342148,125.25059326342148,0.54,250.50118652684296
zerosum,State of the Art,2,0,0.4352717399597168,5,-125.25059326342148,-125.25059326342148,0.9,0.0
zerosum,State of the Art,2,1,0.4352717399597168,7,-125.25059326342148,-125.25059326342148,0.54,0.0
zerosum,Stackelberg,3,0,0.4879310131072998,7,-157.0033717259756,157.0033717259756,0.9,314.0067434519512
zerosum,Stackelberg,3,1,0.4879310131072998,10,-157.0033717259756,157.0033717259756,0.54,314.0067434519512
zerosum,State of the Art,3,0,0.6134259700775146,7,-157.0033717259755,-157.0033717259755,0.9,0.0
zerosum,State of the Art,3,1,0.6134259700775146,10,-157.0033717259755,-157.0033717259755,0.54,0.0
zerosum,Stackelberg,4,0,0.6061158180236816,9,-188.01275395252526,188.01275395252526,0.9,376.0255079050505
zerosum,Stackelberg,4,1,0.6061158180236816,13,-188.01275395252526,188.01275395252526,0.54,376.0255079050505
zerosum,State of the Art,4,0,0.7978758811950684,9,-188.01275395252537,-188.01275395252537,0.9,0.0
zerosum,State of the Art,4,1,0.7978758811950684,13,-188.01275395252537,-188.01275395252537,0.54,0.0
stackelberg,Stackelberg,1,0,0.16481399536132812,3,-4.091420702443281,-77.89330660994764,0.9,73.80188590750436
stackelberg,Stackelberg,1,1,0.16481399536132812,4,3.468480039267017,-77.89330660994764,0.54,81.36178664921466
stackelberg,State of the Art,1,0,0.1608109474182129,3,-5.5953426774287305,-52.611111111111114,0.9,47.01576843368238
stackelberg,State of the Art,1,1,0.1608109474182129,4,2.4107554144557923,-52.611111111111114,0.54,55.02186652556691
stackelberg,Stackelberg,2,0,0.3118882179260254,5,-10.413742182955195,-120.09319717132055,0.9,109.67945498836536
stackelberg,Stackelberg,2,1,0.3118882179260254,7,3.9693230048356627,-113.57303189445173,0.54,117.54235489928739
stackelberg,State of the Art,2,0,0.2912437915802002,5,-10.4137421829552,-52.611111111111114,0.9,42.19736892815591
stackelberg,State of the Art,2,1,0.2912437915802002,7,2.7442729666996524,-52.611111111111114,0.54,55.35538407781077
stackelberg,Stackelberg,3,0,0.4034719467163086,7,-27.91485329406632,-134.64208606020944,0.9,106.72723276614312
stackelberg,Stackelberg,3,1,0.4034719467163086,10,7.622631326420706,-134.64208606020944,0.54,142.26471738663014
stackelberg,State of the Art,3,0,0.3848879337310791,7,-29.290310803277094,-52.611111111111114,0.9,23.32080030783402
stackelberg,State of the Art,3,1,0.3848879337310791,10,5.50628856748823,-52.611111111111114,0.54,58.11739967859934
stackelberg,Stackelberg,4,0,0.6018218994140625,9,-29.91485329406632,-176.41708606020944,0.9,146.50223276614312
stackelberg,Stackelberg,4,1,0.6018218994140625,13,8.657978557651985,-176.41708606020944,0.54,185.07506461786141
stackelberg,State of the Art,4,0,0.5174031257629395,9,-31.290310803277094,-52.611111111111114,0.9,21.32080030783402
stackelberg,State of the Art,4,1,0.5174031257629395,13,6.305822702679869,-52.611111111111114,0.54,58.91693381379098
