gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,ave_leader_value_b0,ave_follower_value_b0
cooperative,Stackelberg,1,2,0.449023962020874,4,-4.0,-19.0
cooperative,Stackelberg,2,2,0.8843848705291748,7,-6.0,-28.5
cooperative,Stackelberg,3,2,1.4271337985992432,10,-8.0,-38.0
cooperative,State of the Art,1,2,0.3964569568634033,4,-4.0,-9.5
cooperative,State of the Art,2,2,0.8098728656768799,7,-6.0,-9.5
cooperative,State of the Art,3,2,1.3074359893798828,10,-8.0,-9.5
cooperative,Stackelberg,1,2,0.4181182384490967,4,-4.0,-4.0
cooperative,Stackelberg,2,2,0.8037109375,7,-6.0,-6.0
cooperative,Stackelberg,3,2,1.410261869430542,10,-8.0,-8.0
cooperative,State of the Art,1,2,0.007101297378540039,4,-4.0,-4.0
cooperative,State of the Art,2,2,0.017076969146728516,7,-6.0,-6.0
cooperative,State of the Art,3,2,0.027074813842773438,10,-8.0,-8.0
cooperative,Stackelberg,1,2,0.3226161003112793,4,-4.0,200.0
cooperative,Stackelberg,2,2,0.8595380783081055,7,-5.999999999999999,299.99999999999994
cooperative,Stackelberg,3,2,1.3954870700836182,10,-7.999999999999999,400.0
cooperative,State of the Art,1,2,0.39745593070983887,4,-4.0,-4.0
cooperative,State of the Art,2,2,1.1719250679016113,7,-6.0,-6.0
cooperative,State of the Art,3,2,2.0841550827026367,10,-7.999999999999999,-7.999999999999999
