gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
cooperative,Stackelberg,1,0,0.2732269763946533,3,0.0,0.0,0.9,0.0
cooperative,Stackelberg,1,1,0.2732269763946533,3,0.0,0.0,0.54,0.0
cooperative,Stackelberg,1,2,0.2732269763946533,3,0.0,0.0,0.324,0.0
cooperative,Stackelberg,1,3,0.2732269763946533,3,0.0,0.0,0.1944,0.0
cooperative,State of the Art,1,0,0.0066530704498291016,3,0.0,0.0,0.9,0.0
cooperative,State of the Art,1,1,0.0066530704498291016,3,0.0,0.0,0.54,0.0
cooperative,State of the Art,1,2,0.0066530704498291016,3,0.0,0.0,0.324,0.0
cooperative,State of the Art,1,3,0.0066530704498291016,3,0.0,0.0,0.1944,0.0
cooperative,Stackelberg,2,0,0.2899620532989502,5,0.0,0.0,0.9,0.0
cooperative,Stackelberg,2,1,0.2899620532989502,5,0.0,0.0,0.54,0.0
cooperative,Stackelberg,2,2,0.2899620532989502,5,0.0,0.0,0.324,0.0
cooperative,Stackelberg,2,3,0.2899620532989502,5,0.0,0.0,0.1944,0.0
cooperative,State of the Art,2,0,0.008379936218261719,5,0.0,0.0,0.9,0.0
cooperative,State of the Art,2,1,0.008379936218261719,5,0.0,0.0,0.54,0.0
cooperative,State of the Art,2,2,0.008379936218261719,5,0.0,0.0,0.324,0.0
cooperative,State of the Art,2,3,0.008379936218261719,5,0.0,0.0,0.1944,0.0
cooperative,Stackelberg,3,0,0.40691709518432617,7,0.0,0.0,0.9,0.0
cooperative,Stackelberg,3,1,0.40691709518432617,7,0.0,0.0,0.54,0.0
cooperative,Stackelberg,3,2,0.40691709518432617,7,0.0,0.0,0.324,0.0
cooperative,Stackelberg,3,3,0.40691709518432617,7,0.0,0.0,0.1944,0.0
cooperative,State of the Art,3,0,0.02991175651550293,7,0.0,0.0,0.9,0.0
cooperative,State of the Art,3,1,0.02991175651550293,7,0.0,0.0,0.54,0.0
cooperative,State of the Art,3,2,0.02991175651550293,7,0.0,0.0,0.324,0.0
cooperative,State of the Art,3,3,0.02991175651550293,7,0.0,0.0,0.1944,0.0
cooperative,Stackelberg,4,0,0.5151240825653076,9,0.0,0.0,0.9,0.0
cooperative,Stackelberg,4,1,0.5151240825653076,9,0.0,0.0,0.54,0.0
cooperative,Stackelberg,4,2,0.5151240825653076,9,0.0,0.0,0.324,0.0
cooperative,Stackelberg,4,3,0.5151240825653076,9,0.0,0.0,0.1944,0.0
