gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
cooperative,Stackelberg,1,0,0.5239779949188232,3,6.3405,6.3405,0.9,0.0
cooperative,Stackelberg,1,1,0.5239779949188232,5,6.3405,6.3405,0.54,0.0
cooperative,Stackelberg,1,2,0.5239779949188232,6,6.3405,6.3405,0.324,0.0
cooperative,Stackelberg,1,3,0.5239779949188232,11,6.3405,6.3405,0.1944,0.0
cooperative,Stackelberg,1,4,0.5239779949188232,11,6.3405,6.3405,0.11664,0.0
cooperative,State of the Art,1,0,0.05307888984680176,3,6.3405,6.3405,0.9,0.0
cooperative,State of the Art,1,1,0.05307888984680176,5,6.3405,6.3405,0.54,0.0
cooperative,State of the Art,1,2,0.05307888984680176,6,6.3405,6.3405,0.324,0.0
cooperative,State of the Art,1,3,0.05307888984680176,11,6.3405,6.3405,0.1944,0.0
cooperative,State of the Art,1,4,0.05307888984680176,11,6.3405,6.3405,0.11664,0.0
cooperative,Stackelberg,2,0,1.3744781017303467,5,10.0,10.0,0.9,0.0
cooperative,Stackelberg,2,1,1.3744781017303467,10,10.0,10.0,0.54,0.0
cooperative,Stackelberg,2,2,1.3744781017303467,16,10.0,10.0,0.324,0.0
cooperative,Stackelberg,2,3,1.3744781017303467,28,10.0,10.0,0.1944,0.0
cooperative,Stackelberg,2,4,1.3744781017303467,31,10.0,10.0,0.11664,0.0
cooperative,State of the Art,2,0,0.19611382484436035,5,10.0,10.0,0.9,0.0
cooperative,State of the Art,2,1,0.19611382484436035,10,10.0,10.0,0.54,0.0
cooperative,State of the Art,2,2,0.19611382484436035,16,10.0,10.0,0.324,0.0
cooperative,State of the Art,2,3,0.19611382484436035,28,10.0,10.0,0.1944,0.0
cooperative,State of the Art,2,4,0.19611382484436035,31,10.0,10.0,0.11664,0.0
cooperative,Stackelberg,3,0,2.3315818309783936,7,11.340499999999999,11.340499999999999,0.9,0.0
cooperative,Stackelberg,3,1,2.3315818309783936,15,11.340499999999999,11.340499999999999,0.54,0.0
