gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,ave_leader_value_b0,ave_follower_value_b0,density
cooperative,Stackelberg,1,0,0.29799509048461914,3,-2.0,-2.0,0.9
cooperative,Stackelberg,1,1,0.29799509048461914,5,-2.0,-2.0,0.54
cooperative,State of the Art,1,0,0.08870315551757812,3,-2.0,-2.0,0.9
cooperative,State of the Art,1,1,0.08870315551757812,5,-2.0,-2.0,0.54
cooperative,Stackelberg,2,0,0.4428238868713379,5,-3.0,-3.0,0.9
cooperative,Stackelberg,2,1,0.4428238868713379,13,-3.0,-3.0,0.54
cooperative,State of the Art,2,0,0.13079023361206055,5,-3.0,-3.0,0.9
cooperative,State of the Art,2,1,0.13079023361206055,13,-3.0,-3.0,0.54
zerosum,Stackelberg,1,0,0.24007916450500488,3,-50.99999999999999,50.99999999999999,0.9
zerosum,Stackelberg,1,1,0.24007916450500488,5,-50.99999999999999,50.99999999999999,0.54
zerosum,State of the Art,1,0,0.2614781856536865,3,-51.0,-51.0,0.9
zerosum,State of the Art,1,1,0.2614781856536865,5,-51.0,-51.0,0.54
zerosum,Stackelberg,2,0,0.5617389678955078,5,-51.99999999999999,51.99999999999999,0.9
zerosum,Stackelberg,2,1,0.5617389678955078,13,-51.99999999999999,51.99999999999999,0.54
zerosum,State of the Art,2,0,0.5009431838989258,5,-52.0,-52.0,0.9
zerosum,State of the Art,2,1,0.5009431838989258,13,-52.0,-52.0,0.54
stackelberg,Stackelberg,1,0,0.23984193801879883,3,-2.0,40.55172413793104,0.9
stackelberg,Stackelberg,1,1,0.23984193801879883,5,-2.0,40.55172413793104,0.54
stackelberg,State of the Art,1,0,0.20341897010803223,3,-2.0,44.0,0.9
stackelberg,State of the Art,1,1,0.20341897010803223,5,-2.0,44.0,0.54
stackelberg,Stackelberg,2,0,0.515869140625,5,-3.0000000000000004,38.55172413793103,0.9
stackelberg,Stackelberg,2,1,0.515869140625,13,-3.0000000000000004,38.55172413793103,0.54
stackelberg,State of the Art,2,0,0.3886909484863281,5,-3.0,44.0,0.9
stackelberg,State of the Art,2,1,0.3886909484863281,13,-3.0,44.0,0.54
