gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,ave_leader_value_b0,ave_follower_value_b0
zerosum,Stackelberg,1,2,0.2908799648284912,6,[-50.99999999999999],[50.99999999999999]
zerosum,State of the Art,1,2,0.1845247745513916,6,[-51.0],[51.0]
zerosum,Stackelberg,2,2,0.5020558834075928,22,[-51.99999999999999],[51.99999999999999]
zerosum,State of the Art,2,2,0.6579792499542236,22,[-52.0],[52.0]
zerosum,Stackelberg,3,2,1.4932870864868164,52,[-52.99999999999999],[52.99999999999999]
zerosum,State of the Art,3,2,1.6742970943450928,52,[-53.0],[53.0]
stackelberg,Stackelberg,1,2,0.1791057586669922,6,[-2.0],[40.55172413793104]
stackelberg,State of the Art,1,2,0.18882203102111816,6,[-2.0],[44.0]
stackelberg,Stackelberg,2,2,0.7460529804229736,22,[-3.0000000000000004],[38.55172413793103]
stackelberg,State of the Art,2,2,0.4483621120452881,22,[-3.0],[44.0]
stackelberg,Stackelberg,3,2,1.4880080223083496,52,[-4.0],[36.55172413793103]
stackelberg,State of the Art,3,2,1.2031300067901611,52,[-4.0],[44.0]
