gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value,follower_value,density,gap
cooperative,Stackelberg,1,0,1.0074620246887207,3,-2.0,-2.0,0.9,0.0
cooperative,Stackelberg,1,1,1.0074620246887207,5,-2.0,-2.0,0.54,0.0
cooperative,Stackelberg,1,2,1.0074620246887207,6,-2.0,-2.0,0.324,0.0
cooperative,Stackelberg,1,3,1.0074620246887207,6,-2.0,-2.0,0.1944,0.0
cooperative,Stackelberg,1,4,1.0074620246887207,6,-2.0,-2.0,0.11664,0.0
cooperative,State of the Art,1,0,0.18868708610534668,3,-2.0,-2.0,0.9,0.0
cooperative,State of the Art,1,1,0.18868708610534668,5,-2.0,-2.0,0.54,0.0
cooperative,State of the Art,1,2,0.18868708610534668,6,-2.0,-2.0,0.324,0.0
cooperative,State of the Art,1,3,0.18868708610534668,6,-2.0,-2.0,0.1944,0.0
cooperative,State of the Art,1,4,0.18868708610534668,6,-2.0,-2.0,0.11664,0.0
cooperative,Stackelberg,2,0,4.6064488887786865,5,-3.0,-3.0,0.9,0.0
cooperative,Stackelberg,2,1,4.6064488887786865,13,-3.0,-3.0,0.54,0.0
cooperative,Stackelberg,2,2,4.6064488887786865,16,4.999999999999998,4.999999999999998,0.324,0.0
cooperative,Stackelberg,2,3,4.6064488887786865,18,4.999999999999998,4.999999999999998,0.1944,0.0
cooperative,Stackelberg,2,4,4.6064488887786865,22,4.999999999999998,4.999999999999998,0.11664,0.0
cooperative,State of the Art,2,0,0.5755560398101807,5,-3.0,-3.0,0.9,0.0
cooperative,State of the Art,2,1,0.5755560398101807,13,-3.0,-3.0,0.54,0.0
cooperative,State of the Art,2,2,0.5755560398101807,16,4.999999999999998,4.999999999999998,0.324,0.0
cooperative,State of the Art,2,3,0.5755560398101807,18,4.999999999999998,4.999999999999998,0.1944,0.0
cooperative,State of the Art,2,4,0.5755560398101807,22,4.999999999999998,4.999999999999998,0.11664,0.0
cooperative,Stackelberg,3,0,6.608051061630249,7,-4.0,-4.0,0.9,0.0
