gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0
cooperative,True,1,2,0.006639242172241211,4,"[-4.0, -4.0, -4.0]","[-4.0, -4.0, -4.0]"
cooperative,True,2,2,0.01708984375,7,"[-6.0, -6.0, -6.0]","[-6.0, -6.0, -6.0]"
cooperative,False,1,2,0.38243603706359863,4,"[-4.0, -4.0, -4.0]","[-4.0, -4.0, -4.0]"
cooperative,False,2,2,0.9163877964019775,7,"[-6.0, -6.0, -6.0]","[-6.0, -6.0, -6.0]"
stackelberg,True,1,2,0.27725982666015625,4,"[-4.0, -4.0, -4.0]","[-9.5, -9.5, -9.5]"
stackelberg,True,2,2,0.9124391078948975,7,"[-6.0, -6.0, -6.0]","[-9.5, -9.5, -9.5]"
stackelberg,False,1,2,0.40666866302490234,4,"[-4.0, -4.0, -4.0]","[-19.0, -19.0, -19.0]"
stackelberg,False,2,2,1.0512378215789795,7,"[-6.0, -6.0, -6.0]","[-28.5, -28.5, -28.5]"
zerosum,True,1,2,0.41442108154296875,4,"[-4.0, -4.0, -4.0]","[-4.0, -4.0, -4.0]"
zerosum,True,2,2,1.2425532341003418,7,"[-6.0, -6.0, -6.0]","[-6.0, -6.0, -6.0]"
zerosum,False,1,2,0.34508585929870605,4,"[-4.0, -4.0, -4.0]","[200.0, 200.0, 200.0]"
zerosum,False,2,2,1.041363000869751,7,"[-5.999999999999999, -5.999999999999999, -5.999999999999999]","[299.99999999999994, 299.99999999999994, 299.99999999999994]"
