gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.0031888484954833984],3,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-07
cooperative,State of the Art,2,1,[0.011841058731079102],5,"[(0.32125000000000004, 0.32125000000000004)]","[(0.32125000000000004, 0.32125000000000004)]",1e-07
cooperative,State of the Art,3,1,[0.021461009979248047],7,"[(0.019353125000000082, 0.019353125000000082)]","[(-0.034993749999999935, -0.034993749999999935)]",1e-07
cooperative,State of the Art,4,1,[0.03554701805114746],9,"[(-0.22703861718750007, -0.22703861718750007)]","[(-0.38709215625000004, -0.38709215625000004)]",1e-07
cooperative,Stackelberg,1,1,[0.038735151290893555],3,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-07
cooperative,Stackelberg,2,1,[0.15450167655944824],5,"[(0.32125000000000004, 0.32125000000000004)]","[(0.32125000000000004, 0.32125000000000004)]",1e-07
cooperative,Stackelberg,3,1,[0.3335988521575928],7,"[(0.019353125000000082, 0.019353125000000082)]","[(-0.034993749999999935, -0.034993749999999935)]",1e-07
cooperative,Stackelberg,4,1,[0.5786802768707275],9,"[(-0.22703861718750007, -0.22703861718750007)]","[(-0.38709215625000004, -0.38709215625000004)]",1e-07
zerosum,State of the Art,1,1,[0.05457806587219238],3,"[(-9.0625, 9.0625)]","[(-9.0625, 9.0625)]",1e-07
zerosum,State of the Art,2,1,[0.22649884223937988],5,"[(-9.319146517092399, 9.319146517092399)]","[(-9.319146517092399, 9.319146517092399)]",1e-07
zerosum,State of the Art,3,1,[0.5034050941467285],7,"[(-9.420538385930659, 9.420538385930659)]","[(-9.45621447561085, 9.45621447561085)]",1e-07
zerosum,State of the Art,4,1,[0.9505250453948975],9,"[(-9.462793061767455, 9.462793061767455)]","[(-9.555069277853157, 9.555069277853157)]",1e-07
zerosum,Stackelberg,1,1,[0.047254085540771484],3,"[(-9.0625, 9.0625)]","[(-9.0625, 9.0625)]",1e-07
zerosum,Stackelberg,2,1,[0.22402691841125488],5,"[(-9.319146517092399, 9.319146517092399)]","[(-9.319146517092399, 9.319146517092399)]",1e-07
zerosum,Stackelberg,3,1,[0.3753628730773926],7,"[(-9.420538385930659, 9.420538385930659)]","[(-9.456214475610846, 9.456214475610846)]",1e-07
zerosum,Stackelberg,4,1,[0.6321940422058105],9,"[(-9.462793061767453, 9.462793061767453)]","[(-9.555069277853159, 9.555069277853159)]",1e-07
stackelberg,State of the Art,1,1,[0.03683924674987793],3,"[(-5.5, 1.5)]","[(-5.5, 1.5)]",1e-07
stackelberg,State of the Art,2,1,[0.15093302726745605],5,"[(-5.9605434782608695, 1.5)]","[(-5.9605434782608695, 1.5)]",1e-07
stackelberg,State of the Art,3,1,[0.33730006217956543],7,"[(-6.215604891304348, 1.5)]","[(-6.253175815217391, 1.5)]",1e-07
stackelberg,State of the Art,4,1,[0.627514123916626],9,"[(-6.1386016244092625, 1.5)]","[(-6.589091590914461, 1.5)]",1e-07
stackelberg,Stackelberg,1,1,[0.04362010955810547],3,"[(-5.5, 1.5)]","[(-5.5, 1.5)]",1e-07
stackelberg,Stackelberg,2,1,[0.16801691055297852],5,"[(-5.9605434782608695, 1.382608695652174)]","[(-5.9605434782608695, 1.382608695652174)]",1e-07
stackelberg,Stackelberg,3,1,[0.3425178527832031],7,"[(-6.215604891304348, 1.4125434782608695)]","[(-6.253175815217391, 1.4674239130434783)]",1e-07
stackelberg,Stackelberg,4,1,[0.6285147666931152],9,"[(-6.138672015139751, 1.378201176242236)]","[(-6.589093716809007, 1.488688142468944)]",1e-07
