gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.009138822555541992],4,"[(1.0000000000000002, 1.0000000000000002)]","[(1.0000000000000002, 1.0000000000000002)]",1e-07
cooperative,State of the Art,2,1,[0.035288095474243164],9,"[(2.0, 2.0)]","[(2.0, 2.0)]",1e-07
cooperative,State of the Art,3,1,[0.10072708129882812],16,"[(2.9899999999999998, 2.9899999999999998)]","[(2.9899999999999998, 2.9899999999999998)]",1e-07
cooperative,State of the Art,4,1,[0.2477719783782959],25,"[(3.890000000000001, 3.890000000000001)]","[(3.890000000000001, 3.890000000000001)]",1e-07
cooperative,Stackelberg,1,1,[0.044072866439819336],4,"[(1.0000000000000002, 1.0000000000000002)]","[(1.0000000000000002, 1.0000000000000002)]",1e-07
cooperative,Stackelberg,2,1,[0.2209310531616211],9,"[(2.0, 2.0)]","[(2.0, 2.0)]",1e-07
cooperative,Stackelberg,3,1,[0.6233747005462646],16,"[(2.9899999999999998, 2.9899999999999998)]","[(2.9899999999999998, 2.9899999999999998)]",1e-07
cooperative,Stackelberg,4,1,[1.3642868995666504],25,"[(3.890000000000001, 3.890000000000001)]","[(3.890000000000001, 3.890000000000001)]",1e-07
zerosum,State of the Art,1,1,[0.06054186820983887],4,"[(0.5, -0.5)]","[(0.5, -0.5)]",1e-07
zerosum,State of the Art,2,1,[0.30808091163635254],9,"[(0.8700000000000001, -0.8700000000000001)]","[(0.620162932790224, -0.620162932790224)]",1e-07
zerosum,State of the Art,3,1,[0.8905320167541504],16,"[(1.2053897736797998, -1.2053897736797998)]","[(0.7099587400609255, -0.7099587400609255)]",1e-07
zerosum,State of the Art,4,1,[1.976410150527954],25,"[(1.3478039178667685, -1.3478039178667685)]","[(0.789706633201831, -0.789706633201831)]",1e-07
zerosum,Stackelberg,1,1,[0.045699119567871094],4,"[(0.5, -0.5)]","[(0.5, -0.5)]",1e-07
zerosum,Stackelberg,2,1,[0.23655104637145996],9,"[(0.620162932790224, -0.620162932790224)]","[(0.620162932790224, -0.620162932790224)]",1e-07
zerosum,Stackelberg,3,1,[0.6792969703674316],16,"[(0.7099587400609255, -0.7099587400609255)]","[(0.7099587400609255, -0.7099587400609255)]",1e-07
zerosum,Stackelberg,4,1,[1.481921911239624],25,"[(0.789706633201831, -0.789706633201831)]","[(0.789706633201831, -0.789706633201831)]",1e-07
stackelberg,State of the Art,1,1,[0.04931497573852539],4,"[(1.0000000000000002, 0.0)]","[(1.0000000000000002, 0.0)]",1e-07
stackelberg,State of the Art,2,1,[0.23404383659362793],9,"[(1.9999999999999996, 0.0)]","[(1.9999999999999996, 0.0)]",1e-07
stackelberg,State of the Art,3,1,[0.7331900596618652],16,"[(2.8999999999999995, 0.0)]","[(2.8999999999999995, 0.0)]",1e-07
stackelberg,State of the Art,4,1,[1.4842429161071777],25,"[(3.8, 0.0)]","[(3.8, 0.0)]",1e-07
stackelberg,Stackelberg,1,1,[0.04966402053833008],4,"[(1.0000000000000002, 0.0)]","[(1.0000000000000002, 0.0)]",1e-07
stackelberg,Stackelberg,2,1,[0.24936509132385254],9,"[(1.0999999999999999, 0.0)]","[(1.0999999999999999, 0.0)]",1e-07
stackelberg,Stackelberg,3,1,[0.8109891414642334],16,"[(1.2000000000000002, 0.0)]","[(1.2000000000000002, 0.0)]",1e-07
stackelberg,Stackelberg,4,1,[1.5546250343322754],25,"[(1.3000000000000003, 0.0)]","[(1.3000000000000003, 0.0)]",1e-07
