gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,3,"[0.0045278072357177734, 0.005712747573852539, 0.006895780563354492]",3,"[(9.0, 9.0), (9.0, 9.0), (9.0, 9.0)]","[(9.0, 9.0), (9.0, 9.0), (9.0, 9.0)]",1e-05
cooperative,State of the Art,2,3,"[0.01250004768371582, 0.01686716079711914, 0.02126002311706543]",5,"[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]",1e-05
cooperative,State of the Art,3,3,"[0.02422308921813965, 0.034162282943725586, 0.04427623748779297]",7,"[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]",1e-05
cooperative,State of the Art,4,3,"[0.04614090919494629, 0.06437206268310547, 0.08274292945861816]",9,"[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]",1e-05
cooperative,Stackelberg,1,3,"[0.030533790588378906, 0.05621767044067383, 0.08170580863952637]",3,"[(9.0, 9.0), (9.0, 9.0), (9.0, 9.0)]","[(9.0, 9.0), (9.0, 9.0), (9.0, 9.0)]",1e-05
cooperative,Stackelberg,2,3,"[0.1150209903717041, 0.22105813026428223, 0.3977069854736328]",5,"[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]",1e-05
cooperative,Stackelberg,3,3,"[0.2742159366607666, 0.5459010601043701, 0.803642988204956]",7,"[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]",1e-05
cooperative,Stackelberg,4,3,"[0.5449321269989014, 0.9988541603088379, 1.4682810306549072]",9,"[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]","[(11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001), (11.325000000000001, 11.325000000000001)]",1e-05
zerosum,State of the Art,1,3,"[0.04236006736755371, 0.08251500129699707, 0.12457704544067383]",3,"[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]","[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]",1e-05
zerosum,State of the Art,2,3,"[0.16336393356323242, 0.3217310905456543, 0.48879098892211914]",5,"[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]","[(-75.0, 75.0), (-75.0, 75.0), (-75.0, 75.0)]",1e-05
