gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.0008981227874755859],2,"[(0.0, 0.0)]","[(0.0, 0.0)]",1e-05
cooperative,State of the Art,2,1,[0.0017139911651611328],2,"[(0.0, 0.0)]","[(0.0, 0.0)]",1e-05
cooperative,State of the Art,3,1,[0.0012638568878173828],2,"[(0.0, 0.0)]","[(0.0, 0.0)]",1e-05
cooperative,State of the Art,4,1,[0.0014641284942626953],2,"[(0.0, 0.0)]","[(0.0, 0.0)]",1e-05
cooperative,Stackelberg,1,1,[0.04410195350646973],2,"[(0.0, 0.0)]","[(0.0, 0.0)]",1e-05
cooperative,Stackelberg,2,1,[0.06553220748901367],2,"[(0.0, 0.0)]","[(0.0, 0.0)]",1e-05
cooperative,Stackelberg,3,1,[0.0804598331451416],2,"[(0.0, 0.0)]","[(0.0, 0.0)]",1e-05
cooperative,Stackelberg,4,1,[0.12255597114562988],2,"[(0.0, 0.0)]","[(0.0, 0.0)]",1e-05
zerosum,State of the Art,1,1,[0.03723716735839844],2,"[(-5.0, 5.0)]","[(-5.0, 5.0)]",1e-05
zerosum,State of the Art,2,1,[0.14759421348571777],2,"[(-5.0, 5.0)]","[(-5.0, 5.0)]",1e-05
zerosum,State of the Art,3,1,[0.139329195022583],2,"[(-5.0, 5.0)]","[(-5.0, 5.0)]",1e-05
zerosum,State of the Art,4,1,[0.1784350872039795],2,"[(-5.0, 5.0)]","[(-5.0, 5.0)]",1e-05
zerosum,Stackelberg,1,1,[0.020125865936279297],2,"[(-5.0, 5.0)]","[(-5.0, 5.0)]",1e-05
zerosum,Stackelberg,2,1,[0.05751919746398926],2,"[(-5.0, 5.0)]","[(-5.0, 5.0)]",1e-05
zerosum,Stackelberg,3,1,[0.08307361602783203],2,"[(-5.0, 5.0)]","[(-5.0, 5.0)]",1e-05
zerosum,Stackelberg,4,1,[0.10639691352844238],2,"[(-5.0, 5.0)]","[(-5.0, 5.0)]",1e-05
stackelberg,State of the Art,1,1,[0.02304983139038086],2,"[(-0.3076923076923077, -6.923076923076923)]","[(-0.3076923076923077, -6.923076923076923)]",1e-05
stackelberg,State of the Art,2,1,[0.09747886657714844],2,"[(-0.3076923076923077, -6.923076923076923)]","[(-0.3076923076923077, -6.923076923076923)]",1e-05
stackelberg,State of the Art,3,1,[0.10325288772583008],2,"[(-0.3076923076923077, -6.923076923076923)]","[(-0.3076923076923077, -6.923076923076923)]",1e-05
stackelberg,State of the Art,4,1,[0.12508320808410645],2,"[(-0.3076923076923077, -6.923076923076923)]","[(-0.3076923076923077, -6.923076923076923)]",1e-05
stackelberg,Stackelberg,1,1,[0.023582935333251953],2,"[(-0.3076923076923077, -6.923076923076923)]","[(-0.3076923076923077, -6.923076923076923)]",1e-05
stackelberg,Stackelberg,2,1,[0.07063174247741699],2,"[(-0.3076923076923077, -6.923076923076923)]","[(-0.3076923076923077, -6.923076923076923)]",1e-05
stackelberg,Stackelberg,3,1,[0.09462809562683105],2,"[(-0.3076923076923077, -6.923076923076923)]","[(-0.3076923076923077, -6.923076923076923)]",1e-05
stackelberg,Stackelberg,4,1,[0.13886785507202148],2,"[(-0.3076923076923077, -6.923076923076923)]","[(-0.3076923076923077, -6.923076923076923)]",1e-05
