gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,Stackelberg,1,3,"[0.02862691879272461, 0.055841922760009766, 0.0836648941040039]","[8, 10, 10]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.25, 0.1255, 0.001]"
cooperative,Stackelberg,2,3,"[0.20543313026428223, 0.5030043125152588, 0.7745351791381836]","[13, 20, 26]","[(5.0, 5.0), (5.0, 5.0), (5.0, 5.0)]","[(5.0, 5.0), (5.0, 5.0), (5.0, 5.0)]","[0.25, 0.1255, 0.001]"
cooperative,Stackelberg,3,3,"[0.5751960277557373, 1.4208400249481201, 2.481553077697754]","[13, 20, 26]","[(6.7, 6.7), (6.7, 6.7), (6.7, 6.7)]","[(6.7, 6.7), (6.7, 6.7), (6.7, 6.7)]","[0.25, 0.1255, 0.001]"
cooperative,Stackelberg,4,3,"[1.070087194442749, 2.658071994781494, 4.780604839324951]","[13, 20, 26]","[(9.111500000000001, 9.111500000000001), (9.111500000000001, 9.111500000000001), (9.111500000000001, 9.111500000000001)]","[(9.111500000000001, 9.111500000000001), (9.111500000000001, 9.111500000000001), (9.111500000000001, 9.111500000000001)]","[0.25, 0.1255, 0.001]"
cooperative,State of the Art,1,3,"[0.0010039806365966797, 0.001889944076538086, 0.003087759017944336]","[8, 10, 10]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.25, 0.1255, 0.001]"
cooperative,State of the Art,2,3,"[0.01695990562438965, 0.04711794853210449, 0.08143377304077148]","[13, 20, 26]","[(5.0, 5.0), (5.0, 5.0), (5.0, 5.0)]","[(5.0, 5.0), (5.0, 5.0), (5.0, 5.0)]","[0.25, 0.1255, 0.001]"
cooperative,State of the Art,3,3,"[0.058120012283325195, 0.18533897399902344, 0.36055612564086914]","[13, 20, 26]","[(6.7, 6.7), (6.7, 6.7), (6.7, 6.7)]","[(6.7, 6.7), (6.7, 6.7), (6.7, 6.7)]","[0.25, 0.1255, 0.001]"
cooperative,State of the Art,4,3,"[0.12140202522277832, 0.3530120849609375, 0.7275080680847168]","[13, 20, 26]","[(9.111500000000001, 9.111500000000001), (9.111500000000001, 9.111500000000001), (9.111500000000001, 9.111500000000001)]","[(9.111500000000001, 9.111500000000001), (9.111500000000001, 9.111500000000001), (9.111500000000001, 9.111500000000001)]","[0.25, 0.1255, 0.001]"
zerosum,Stackelberg,1,3,"[0.02592635154724121, 0.050538063049316406, 0.0747373104095459]","[8, 10, 10]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[(0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]","[0.25, 0.1255, 0.001]"
zerosum,Stackelberg,2,3,"[0.24462532997131348, 0.5093281269073486, 0.7821722030639648]","[13, 20, 26]","[(2.0, -2.0), (2.0, -2.0), (2.0, -2.0)]","[(2.0, -2.0), (2.0, -2.0), (2.0, -2.0)]","[0.25, 0.1255, 0.001]"
