gametype,SOTA,horizon,iterations,time,number_of_beliefs,values,tabular value,density
cooperative,State of the Art,1,1,[0.006350994110107422],4,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-05
cooperative,State of the Art,2,1,[0.0302579402923584],17,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-05
cooperative,State of the Art,3,1,[0.15015602111816406],60,"[(7.327499999999999, 7.327499999999999)]","[(7.327499999999999, 7.327499999999999)]",1e-05
cooperative,Stackelberg,1,1,[0.0323491096496582],4,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-05
cooperative,Stackelberg,2,1,[0.1645059585571289],17,"[(-1.0, -1.0)]","[(-1.0, -1.0)]",1e-05
cooperative,Stackelberg,3,1,[0.7436881065368652],60,"[(7.327499999999999, 7.327499999999999)]","[(7.327499999999999, 7.327499999999999)]",1e-05
zerosum,State of the Art,1,1,[0.04642796516418457],4,"[(-50.0, 50.0)]","[(-50.0, 50.0)]",1e-05
zerosum,State of the Art,2,1,[0.23750782012939453],17,"[(-50.0, 50.0)]","[(-50.85878962536023, 50.85878962536023)]",1e-05
zerosum,State of the Art,3,1,[1.1433053016662598],60,"[(-50.0, 50.0)]","[(-90.43572976772148, 90.43572976772148)]",1e-05
zerosum,Stackelberg,1,1,[0.031707763671875],4,"[(-50.0, 50.0)]","[(-50.0, 50.0)]",1e-05
zerosum,Stackelberg,2,1,[0.16817688941955566],17,"[(-50.85878962536023, 50.85878962536023)]","[(-50.85878962536023, 50.85878962536023)]",1e-05
zerosum,Stackelberg,3,1,[0.7847139835357666],60,"[(-51.85878962536023, 51.85878962536023)]","[(-90.43572976772148, 90.43572976772148)]",1e-05
stackelberg,State of the Art,1,1,[0.037930965423583984],4,"[(-1.0, 35.75)]","[(-1.0, 35.75)]",1e-05
stackelberg,State of the Art,2,1,[0.19565629959106445],17,"[(-2.0, 33.0)]","[(-2.0, 33.0)]",1e-05
stackelberg,State of the Art,3,1,[0.9481828212738037],60,"[(-2.5, 44.0)]","[(-3.0, 33.0)]",1e-05
stackelberg,Stackelberg,1,1,[0.038390159606933594],4,"[(-1.0, 35.75)]","[(-1.0, 35.75)]",1e-05
stackelberg,Stackelberg,2,1,[0.20652008056640625],17,"[(-1.9869683008338468, 65.1051780847474)]","[(-1.9869683008338468, 65.1051780847474)]",1e-05
stackelberg,Stackelberg,3,1,[1.0328867435455322],60,"[(-2.893754833507205, 83.92397463208765)]","[(-3.0, 97.37500000000001)]",1e-05
