gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0,density,gap
cooperative,True,1,1,0.025536060333251953,4,-15.0,-15.0,0.1,0.0
cooperative,True,1,2,0.025536060333251953,4,-15.0,-15.0,0.1,0.0
cooperative,True,1,3,0.025536060333251953,4,-15.0,-15.0,0.1,0.0
cooperative,True,1,4,0.025536060333251953,4,-15.0,-15.0,0.1,0.0
cooperative,True,1,5,0.025536060333251953,4,-15.0,-15.0,0.1,0.0
cooperative,True,1,6,0.025536060333251953,4,-15.0,-15.0,0.1,0.0
cooperative,True,1,7,0.025536060333251953,4,-15.0,-15.0,0.1,0.0
cooperative,True,1,8,0.025536060333251953,4,-15.0,-15.0,0.1,0.0
cooperative,True,1,9,0.025536060333251953,4,-15.0,-15.0,0.1,0.0
cooperative,True,1,10,0.025536060333251953,4,-15.0,-15.0,0.1,0.0
cooperative,True,2,1,0.0693049430847168,9,-22.5,-22.5,0.1,0.0
cooperative,True,2,2,0.0693049430847168,9,-22.5,-22.5,0.1,0.0
cooperative,True,2,3,0.0693049430847168,9,-22.5,-22.5,0.1,0.0
cooperative,True,2,4,0.0693049430847168,9,-22.5,-22.5,0.1,0.0
cooperative,True,2,5,0.0693049430847168,9,-22.5,-22.5,0.1,0.0
cooperative,True,2,6,0.0693049430847168,9,-22.5,-22.5,0.1,0.0
cooperative,True,2,7,0.0693049430847168,9,-22.5,-22.5,0.1,0.0
cooperative,True,2,8,0.0693049430847168,9,-22.5,-22.5,0.1,0.0
cooperative,True,2,9,0.0693049430847168,9,-22.5,-22.5,0.1,0.0
cooperative,True,2,10,0.0693049430847168,9,-22.5,-22.5,0.1,0.0
cooperative,True,3,1,0.12867307662963867,14,-32.5,-32.5,0.1,0.0
cooperative,True,3,2,0.12867307662963867,14,-32.5,-32.5,0.1,0.0
cooperative,True,3,3,0.12867307662963867,14,-32.5,-32.5,0.1,0.0
cooperative,True,3,4,0.12867307662963867,14,-32.5,-32.5,0.1,0.0
cooperative,True,3,5,0.12867307662963867,14,-32.5,-32.5,0.1,0.0
cooperative,True,3,6,0.12867307662963867,14,-32.5,-32.5,0.1,0.0
cooperative,True,3,7,0.12867307662963867,14,-32.5,-32.5,0.1,0.0
cooperative,True,3,8,0.12867307662963867,14,-32.5,-32.5,0.1,0.0
cooperative,True,3,9,0.12867307662963867,14,-32.5,-32.5,0.1,0.0
cooperative,True,3,10,0.12867307662963867,14,-32.5,-32.5,0.1,0.0
cooperative,True,4,1,0.18569612503051758,19,-40.0,-40.0,0.1,0.0
cooperative,True,4,2,0.18569612503051758,19,-40.0,-40.0,0.1,0.0
cooperative,True,4,3,0.18569612503051758,19,-40.0,-40.0,0.1,0.0
cooperative,True,4,4,0.18569612503051758,19,-40.0,-40.0,0.1,0.0
cooperative,True,4,5,0.18569612503051758,19,-40.0,-40.0,0.1,0.0
cooperative,True,4,6,0.18569612503051758,19,-40.0,-40.0,0.1,0.0
cooperative,True,4,7,0.18569612503051758,19,-40.0,-40.0,0.1,0.0
cooperative,True,4,8,0.18569612503051758,19,-40.0,-40.0,0.1,0.0
cooperative,True,4,9,0.18569612503051758,19,-40.0,-40.0,0.1,0.0
cooperative,True,4,10,0.18569612503051758,19,-40.0,-40.0,0.1,0.0
cooperative,True,5,1,0.24704384803771973,24,-47.5,-47.5,0.1,0.0
cooperative,True,5,2,0.24704384803771973,24,-47.5,-47.5,0.1,0.0
cooperative,True,5,3,0.24704384803771973,24,-47.5,-47.5,0.1,0.0
cooperative,True,5,4,0.24704384803771973,24,-47.5,-47.5,0.1,0.0
cooperative,True,5,5,0.24704384803771973,24,-47.5,-47.5,0.1,0.0
cooperative,True,5,6,0.24704384803771973,24,-47.5,-47.5,0.1,0.0
cooperative,True,5,7,0.24704384803771973,24,-47.5,-47.5,0.1,0.0
cooperative,True,5,8,0.24704384803771973,24,-47.5,-47.5,0.1,0.0
cooperative,True,5,9,0.24704384803771973,24,-47.5,-47.5,0.1,0.0
cooperative,True,5,10,0.24704384803771973,24,-47.5,-47.5,0.1,0.0
cooperative,True,6,1,0.30139780044555664,29,-55.0,-55.0,0.1,0.0
cooperative,True,6,2,0.30139780044555664,29,-55.0,-55.0,0.1,0.0
cooperative,True,6,3,0.30139780044555664,29,-55.0,-55.0,0.1,0.0
cooperative,True,6,4,0.30139780044555664,29,-55.0,-55.0,0.1,0.0
cooperative,True,6,5,0.30139780044555664,29,-55.0,-55.0,0.1,0.0
cooperative,True,6,6,0.30139780044555664,29,-55.0,-55.0,0.1,0.0
cooperative,True,6,7,0.30139780044555664,29,-55.0,-55.0,0.1,0.0
cooperative,True,6,8,0.30139780044555664,29,-55.0,-55.0,0.1,0.0
cooperative,True,6,9,0.30139780044555664,29,-55.0,-55.0,0.1,0.0
cooperative,True,6,10,0.30139780044555664,29,-55.0,-55.0,0.1,0.0
cooperative,True,7,1,0.3586399555206299,34,-62.5,-62.5,0.1,0.0
cooperative,True,7,2,0.3586399555206299,34,-62.5,-62.5,0.1,0.0
cooperative,True,7,3,0.3586399555206299,34,-62.5,-62.5,0.1,0.0
cooperative,True,7,4,0.3586399555206299,34,-62.5,-62.5,0.1,0.0
cooperative,True,7,5,0.3586399555206299,34,-62.5,-62.5,0.1,0.0
cooperative,True,7,6,0.3586399555206299,34,-62.5,-62.5,0.1,0.0
cooperative,True,7,7,0.3586399555206299,34,-62.5,-62.5,0.1,0.0
