gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0,density,gap
cooperative,True,1,1,0.27210497856140137,2,0.37,0.37,0.1,0.0
cooperative,True,1,2,0.27210497856140137,2,0.37,0.37,0.1,0.0
cooperative,True,1,3,0.27210497856140137,2,0.37,0.37,0.1,0.0
cooperative,True,1,4,0.27210497856140137,2,0.37,0.37,0.1,0.0
cooperative,True,1,5,0.27210497856140137,2,0.37,0.37,0.1,0.0
cooperative,True,1,6,0.27210497856140137,2,0.37,0.37,0.1,0.0
cooperative,True,1,7,0.27210497856140137,2,0.37,0.37,0.1,0.0
cooperative,True,1,8,0.27210497856140137,2,0.37,0.37,0.1,0.0
cooperative,True,1,9,0.27210497856140137,2,0.37,0.37,0.1,0.0
cooperative,True,1,10,0.27210497856140137,2,0.37,0.37,0.1,0.0
cooperative,True,2,1,0.38416004180908203,3,0.37,0.37,0.1,0.0
cooperative,True,2,2,0.38416004180908203,3,0.37,0.37,0.1,0.0
cooperative,True,2,3,0.38416004180908203,3,0.37,0.37,0.1,0.0
cooperative,True,2,4,0.38416004180908203,3,0.37,0.37,0.1,0.0
cooperative,True,2,5,0.38416004180908203,3,0.37,0.37,0.1,0.0
cooperative,True,2,6,0.38416004180908203,3,0.37,0.37,0.1,0.0
cooperative,True,2,7,0.38416004180908203,3,0.37,0.37,0.1,0.0
cooperative,True,2,8,0.38416004180908203,3,0.37,0.37,0.1,0.0
cooperative,True,2,9,0.38416004180908203,3,0.37,0.37,0.1,0.0
cooperative,True,2,10,0.38416004180908203,3,0.37,0.37,0.1,0.0
cooperative,True,3,1,0.49953794479370117,4,0.37,0.37,0.1,0.0
cooperative,True,3,2,0.49953794479370117,4,0.37,0.37,0.1,0.0
cooperative,True,3,3,0.49953794479370117,4,0.37,0.37,0.1,0.0
cooperative,True,3,4,0.49953794479370117,4,0.37,0.37,0.1,0.0
cooperative,True,3,5,0.49953794479370117,4,0.37,0.37,0.1,0.0
cooperative,True,3,6,0.49953794479370117,4,0.37,0.37,0.1,0.0
cooperative,True,3,7,0.49953794479370117,4,0.37,0.37,0.1,0.0
cooperative,True,3,8,0.49953794479370117,4,0.37,0.37,0.1,0.0
cooperative,True,3,9,0.49953794479370117,4,0.37,0.37,0.1,0.0
cooperative,True,3,10,0.49953794479370117,4,0.37,0.37,0.1,0.0
cooperative,True,4,1,0.6134130954742432,5,0.37,0.37,0.1,0.0
cooperative,True,4,2,0.6134130954742432,5,0.37,0.37,0.1,0.0
cooperative,True,4,3,0.6134130954742432,5,0.37,0.37,0.1,0.0
cooperative,True,4,4,0.6134130954742432,5,0.37,0.37,0.1,0.0
cooperative,True,4,5,0.6134130954742432,5,0.37,0.37,0.1,0.0
cooperative,True,4,6,0.6134130954742432,5,0.37,0.37,0.1,0.0
cooperative,True,4,7,0.6134130954742432,5,0.37,0.37,0.1,0.0
cooperative,True,4,8,0.6134130954742432,5,0.37,0.37,0.1,0.0
cooperative,True,4,9,0.6134130954742432,5,0.37,0.37,0.1,0.0
cooperative,True,4,10,0.6134130954742432,5,0.37,0.37,0.1,0.0
cooperative,True,5,1,0.7235260009765625,6,0.37,0.37,0.1,0.0
cooperative,True,5,2,0.7235260009765625,6,0.37,0.37,0.1,0.0
cooperative,True,5,3,0.7235260009765625,6,0.37,0.37,0.1,0.0
cooperative,True,5,4,0.7235260009765625,6,0.37,0.37,0.1,0.0
cooperative,True,5,5,0.7235260009765625,6,0.37,0.37,0.1,0.0
cooperative,True,5,6,0.7235260009765625,6,0.37,0.37,0.1,0.0
cooperative,True,5,7,0.7235260009765625,6,0.37,0.37,0.1,0.0
cooperative,True,5,8,0.7235260009765625,6,0.37,0.37,0.1,0.0
cooperative,True,5,9,0.7235260009765625,6,0.37,0.37,0.1,0.0
cooperative,True,5,10,0.7235260009765625,6,0.37,0.37,0.1,0.0
cooperative,True,6,1,0.8383469581604004,7,0.37,0.37,0.1,0.0
cooperative,True,6,2,0.8383469581604004,7,0.37,0.37,0.1,0.0
cooperative,True,6,3,0.8383469581604004,7,0.37,0.37,0.1,0.0
cooperative,True,6,4,0.8383469581604004,7,0.37,0.37,0.1,0.0
cooperative,True,6,5,0.8383469581604004,7,0.37,0.37,0.1,0.0
cooperative,True,6,6,0.8383469581604004,7,0.37,0.37,0.1,0.0
cooperative,True,6,7,0.8383469581604004,7,0.37,0.37,0.1,0.0
cooperative,True,6,8,0.8383469581604004,7,0.37,0.37,0.1,0.0
cooperative,True,6,9,0.8383469581604004,7,0.37,0.37,0.1,0.0
cooperative,True,6,10,0.8383469581604004,7,0.37,0.37,0.1,0.0
cooperative,True,7,1,0.9664959907531738,8,0.37,0.37,0.1,0.0
cooperative,True,7,2,0.9664959907531738,8,0.37,0.37,0.1,0.0
cooperative,True,7,3,0.9664959907531738,8,0.37,0.37,0.1,0.0
cooperative,True,7,4,0.9664959907531738,8,0.37,0.37,0.1,0.0
cooperative,True,7,5,0.9664959907531738,8,0.37,0.37,0.1,0.0
cooperative,True,7,6,0.9664959907531738,8,0.37,0.37,0.1,0.0
cooperative,True,7,7,0.9664959907531738,8,0.37,0.37,0.1,0.0
cooperative,True,7,8,0.9664959907531738,8,0.37,0.37,0.1,0.0
cooperative,True,7,9,0.9664959907531738,8,0.37,0.37,0.1,0.0
cooperative,True,7,10,0.9664959907531738,8,0.37,0.37,0.1,0.0
cooperative,True,8,1,1.0770330429077148,9,0.37,0.37,0.1,0.0
cooperative,True,8,2,1.0770330429077148,9,0.37,0.37,0.1,0.0
cooperative,True,8,3,1.0770330429077148,9,0.37,0.37,0.1,0.0
cooperative,True,8,4,1.0770330429077148,9,0.37,0.37,0.1,0.0
cooperative,True,8,5,1.0770330429077148,9,0.37,0.37,0.1,0.0
cooperative,True,8,6,1.0770330429077148,9,0.37,0.37,0.1,0.0
cooperative,True,8,7,1.0770330429077148,9,0.37,0.37,0.1,0.0
cooperative,True,8,8,1.0770330429077148,9,0.37,0.37,0.1,0.0
cooperative,True,8,9,1.0770330429077148,9,0.37,0.37,0.1,0.0
cooperative,True,8,10,1.0770330429077148,9,0.37,0.37,0.1,0.0
cooperative,True,9,1,1.1809418201446533,10,0.37,0.37,0.1,0.0
cooperative,True,9,2,1.1809418201446533,10,0.37,0.37,0.1,0.0
cooperative,True,9,3,1.1809418201446533,10,0.37,0.37,0.1,0.0
cooperative,True,9,4,1.1809418201446533,10,0.37,0.37,0.1,0.0
cooperative,True,9,5,1.1809418201446533,10,0.37,0.37,0.1,0.0
cooperative,True,9,6,1.1809418201446533,10,0.37,0.37,0.1,0.0
cooperative,True,9,7,1.1809418201446533,10,0.37,0.37,0.1,0.0
cooperative,True,9,8,1.1809418201446533,10,0.37,0.37,0.1,0.0
cooperative,True,9,9,1.1809418201446533,10,0.37,0.37,0.1,0.0
cooperative,True,9,10,1.1809418201446533,10,0.37,0.37,0.1,0.0
cooperative,True,10,1,1.2831809520721436,11,0.37,0.37,0.1,0.0
cooperative,True,10,2,1.2831809520721436,11,0.37,0.37,0.1,0.0
cooperative,True,10,3,1.2831809520721436,11,0.37,0.37,0.1,0.0
cooperative,True,10,4,1.2831809520721436,11,0.37,0.37,0.1,0.0
cooperative,True,10,5,1.2831809520721436,11,0.37,0.37,0.1,0.0
cooperative,True,10,6,1.2831809520721436,11,0.37,0.37,0.1,0.0
cooperative,True,10,7,1.2831809520721436,11,0.37,0.37,0.1,0.0
cooperative,True,10,8,1.2831809520721436,11,0.37,0.37,0.1,0.0
cooperative,True,10,9,1.2831809520721436,11,0.37,0.37,0.1,0.0
cooperative,True,10,10,1.2831809520721436,11,0.37,0.37,0.1,0.0
cooperative,False,1,1,0.782081127166748,2,0.37,0.37,0.1,0.0
cooperative,False,1,2,0.782081127166748,2,0.37,0.37,0.1,0.0
cooperative,False,1,3,0.782081127166748,2,0.37,0.37,0.1,0.0
cooperative,False,1,4,0.782081127166748,2,0.37,0.37,0.1,0.0
cooperative,False,1,5,0.782081127166748,2,0.37,0.37,0.1,0.0
cooperative,False,1,6,0.782081127166748,2,0.37,0.37,0.1,0.0
cooperative,False,1,7,0.782081127166748,2,0.37,0.37,0.1,0.0
cooperative,False,1,8,0.782081127166748,2,0.37,0.37,0.1,0.0
cooperative,False,1,9,0.782081127166748,2,0.37,0.37,0.1,0.0
cooperative,False,1,10,0.782081127166748,2,0.37,0.37,0.1,0.0
cooperative,False,2,1,1.1107490062713623,3,0.37,0.37,0.1,0.0
cooperative,False,2,2,1.1107490062713623,3,0.37,0.37,0.1,0.0
cooperative,False,2,3,1.1107490062713623,3,0.37,0.37,0.1,0.0
cooperative,False,2,4,1.1107490062713623,3,0.37,0.37,0.1,0.0
cooperative,False,2,5,1.1107490062713623,3,0.37,0.37,0.1,0.0
cooperative,False,2,6,1.1107490062713623,3,0.37,0.37,0.1,0.0
cooperative,False,2,7,1.1107490062713623,3,0.37,0.37,0.1,0.0
