gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,ave_leader_value_b0,ave_follower_value_b0,density,gap
cooperative,Stackelberg,1,1,0.16086101531982422,4,-200.0,-200.0,0.2,0.0
cooperative,Stackelberg,1,2,0.16086101531982422,4,-200.0,-200.0,0.30000000000000004,0.0
cooperative,Stackelberg,2,1,0.27089691162109375,7,-246.0,-246.0,0.2,0.0
cooperative,Stackelberg,2,2,0.27089691162109375,7,-246.0,-246.0,0.30000000000000004,0.0
cooperative,Stackelberg,3,1,0.5163357257843018,12,-292.0,-292.0,0.2,0.0
cooperative,Stackelberg,3,2,0.5163357257843018,12,-292.0,-292.0,0.30000000000000004,0.0
cooperative,State of the Art,1,1,0.012319087982177734,4,-200.0,-200.0,0.2,0.0
cooperative,State of the Art,1,2,0.012319087982177734,4,-200.0,-200.0,0.30000000000000004,0.0
cooperative,State of the Art,2,1,0.029263734817504883,7,-246.0,-246.0,0.2,0.0
cooperative,State of the Art,2,2,0.029263734817504883,7,-246.0,-246.0,0.30000000000000004,0.0
cooperative,State of the Art,3,1,0.056802988052368164,12,-292.0,-292.0,0.2,0.0
cooperative,State of the Art,3,2,0.056802988052368164,12,-292.0,-292.0,0.30000000000000004,0.0
zerosum,Stackelberg,1,1,0.15182900428771973,4,-200.0,200.0,0.2,400.0
zerosum,Stackelberg,1,2,0.15182900428771973,4,-200.0,200.0,0.30000000000000004,400.0
zerosum,Stackelberg,2,1,0.2847411632537842,7,-246.0,246.0,0.2,492.0
zerosum,Stackelberg,2,2,0.2847411632537842,7,-246.0,246.0,0.30000000000000004,492.0
zerosum,Stackelberg,3,1,0.511523962020874,12,-292.0,292.0,0.2,584.0
zerosum,Stackelberg,3,2,0.511523962020874,12,-292.0,292.0,0.30000000000000004,584.0
zerosum,State of the Art,1,1,0.183121919631958,4,-90.38176742166596,-90.38176742166596,0.2,0.0
zerosum,State of the Art,1,2,0.183121919631958,4,-90.38176742166596,-90.38176742166596,0.30000000000000004,0.0
zerosum,State of the Art,2,1,0.3430778980255127,7,-121.48125693352736,-121.48125693352736,0.2,0.0
zerosum,State of the Art,2,2,0.3430778980255127,7,-121.48125693352736,-121.48125693352736,0.30000000000000004,0.0
zerosum,State of the Art,3,1,0.7468149662017822,12,-167.62325070719817,-167.62325070719817,0.2,0.0
zerosum,State of the Art,3,2,0.7468149662017822,12,-167.62325070719817,-167.62325070719817,0.30000000000000004,0.0
stackelberg,Stackelberg,1,1,0.15642690658569336,4,-121.13042176088186,-124.47769242074337,0.2,3.3472706598615076
stackelberg,Stackelberg,1,2,0.15642690658569336,4,-121.13042176088186,-124.47769242074337,0.30000000000000004,3.3472706598615076
stackelberg,Stackelberg,2,1,0.28113627433776855,7,-182.44288669502725,-174.48423591374436,0.2,7.958650781282898
stackelberg,Stackelberg,2,2,0.28113627433776855,7,-182.44288669502725,-174.48423591374436,0.30000000000000004,7.958650781282898
stackelberg,Stackelberg,3,1,0.5580101013183594,12,-225.01600085284318,-229.62466273272753,0.2,4.608661879884352
stackelberg,Stackelberg,3,2,0.5580101013183594,12,-225.01600085284318,-229.62466273272753,0.30000000000000004,4.608661879884352
stackelberg,State of the Art,1,1,0.1621382236480713,4,-125.89375648913044,-56.274312157768755,0.2,69.61944433136168
stackelberg,State of the Art,1,2,0.1621382236480713,4,-125.89375648913044,-56.274312157768755,0.30000000000000004,69.61944433136168
stackelberg,State of the Art,2,1,0.2592051029205322,7,-165.47596672603325,-56.274312157768755,0.2,109.2016545682645
stackelberg,State of the Art,2,2,0.2592051029205322,7,-165.47596672603325,-56.274312157768755,0.30000000000000004,109.2016545682645
stackelberg,State of the Art,3,1,0.5477039813995361,12,-205.04941895987056,-56.274312157768755,0.2,148.77510680210182
stackelberg,State of the Art,3,2,0.5477039813995361,12,-205.04941895987056,-56.274312157768755,0.30000000000000004,148.77510680210182
