gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0,density,gap
cooperative,True,1,2,0.004873037338256836,4,10.815000000000001,10.815000000000001,0.1,0.0
cooperative,True,2,2,0.0090179443359375,7,13.015487500000003,13.015487500000003,0.1,0.0
cooperative,True,3,2,0.01249384880065918,10,22.647234843750002,22.647234843750002,0.1,0.0
cooperative,True,4,2,0.016539812088012695,13,26.639141291406258,26.639141291406258,0.1,0.0
cooperative,True,5,2,0.0202791690826416,16,34.990170987902346,34.990170987902346,0.1,0.0
cooperative,False,1,2,0.05748701095581055,4,10.815000000000001,10.815000000000001,0.1,0.0
cooperative,False,2,2,0.09006524085998535,7,13.015487500000003,13.015487500000003,0.1,0.0
cooperative,False,3,2,0.12985873222351074,10,22.647234843750002,22.647234843750002,0.1,0.0
cooperative,False,4,2,0.16939091682434082,13,26.639141291406258,26.639141291406258,0.1,0.0
cooperative,False,5,2,0.2210559844970703,16,34.990170987902346,34.990170987902346,0.1,0.0
stackelberg,True,1,2,0.046723127365112305,4,2.4107554144557923,-52.611111111111114,0.1,55.02186652556691
stackelberg,True,2,2,0.08341813087463379,7,2.7442729666996524,-52.611111111111114,0.1,55.35538407781077
stackelberg,True,3,2,0.11633992195129395,10,5.50628856748823,-52.611111111111114,0.1,58.11739967859934
stackelberg,True,4,2,0.15591979026794434,13,6.305822702679869,-52.611111111111114,0.1,58.91693381379098
stackelberg,True,5,2,0.19120192527770996,16,8.879078961099506,-52.611111111111114,0.1,61.49019007221062
stackelberg,False,1,2,0.04712390899658203,4,3.468480039267017,-78.47541939354277,0.1,81.94389943280979
stackelberg,False,2,2,0.08582210540771484,7,3.9693230048356627,-113.57303189445173,0.1,117.54235489928739
stackelberg,False,3,2,0.12036705017089844,10,7.622631326420706,-152.30618626648396,0.1,159.92881759290466
stackelberg,False,4,2,0.1583850383758545,13,8.657978557651985,-183.78313275225244,0.1,192.44111130990441
stackelberg,False,5,2,0.19541668891906738,16,12.072913964599358,-226.46449654084498,0.1,238.53741050544434
zerosum,True,1,2,0.0725100040435791,4,-88.22274983811785,-88.22274983811785,0.1,0.0
zerosum,True,2,2,0.1371479034423828,7,-125.27610544112885,-125.27610544112885,0.1,0.0
zerosum,True,3,2,0.21868419647216797,10,-162.13855992390543,-162.13855992390543,0.1,0.0
zerosum,True,4,2,0.24027395248413086,13,-197.87358201325503,-197.87358201325503,0.1,0.0
zerosum,True,5,2,0.3029341697692871,16,-233.49907374488214,-233.49907374488214,0.1,0.0
zerosum,False,1,2,0.05565476417541504,4,-88.22274983811785,88.22274983811785,0.1,176.4454996762357
zerosum,False,2,2,0.10624480247497559,7,-125.25059326342148,125.25059326342148,0.1,250.50118652684296
zerosum,False,3,2,0.13611102104187012,10,-156.27546805333853,156.27546805333853,0.1,312.55093610667706
zerosum,False,4,2,0.17463970184326172,13,-185.5719871495445,185.5719871495445,0.1,371.143974299089
zerosum,False,5,2,0.22413206100463867,16,-214.27518237181357,214.27518237181357,0.1,428.55036474362714
