gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0,density,gap
cooperative,True,1,1,0.028953075408935547,4,-200.0,-200.0,0.1,0.0
cooperative,True,1,2,0.028953075408935547,4,-200.0,-200.0,0.1,0.0
cooperative,True,1,3,0.028953075408935547,4,-200.0,-200.0,0.1,0.0
cooperative,True,1,4,0.028953075408935547,4,-200.0,-200.0,0.1,0.0
cooperative,True,1,5,0.028953075408935547,4,-200.0,-200.0,0.1,0.0
cooperative,True,2,1,0.08111572265625,9,-246.0,-246.0,0.1,0.0
cooperative,True,2,2,0.08111572265625,9,-246.0,-246.0,0.1,0.0
cooperative,True,2,3,0.08111572265625,9,-246.0,-246.0,0.1,0.0
cooperative,True,2,4,0.08111572265625,9,-246.0,-246.0,0.1,0.0
cooperative,True,2,5,0.08111572265625,9,-246.0,-246.0,0.1,0.0
cooperative,True,3,1,0.15106892585754395,14,-292.0,-292.0,0.1,0.0
cooperative,True,3,2,0.15106892585754395,14,-292.0,-292.0,0.1,0.0
cooperative,True,3,3,0.15106892585754395,14,-292.0,-292.0,0.1,0.0
cooperative,True,3,4,0.15106892585754395,14,-292.0,-292.0,0.1,0.0
cooperative,True,3,5,0.15106892585754395,14,-292.0,-292.0,0.1,0.0
cooperative,True,4,1,0.19018125534057617,19,-338.0,-338.0,0.1,0.0
cooperative,True,4,2,0.19018125534057617,19,-338.0,-338.0,0.1,0.0
cooperative,True,4,3,0.19018125534057617,19,-338.0,-338.0,0.1,0.0
cooperative,True,4,4,0.19018125534057617,19,-338.0,-338.0,0.1,0.0
cooperative,True,4,5,0.19018125534057617,19,-338.0,-338.0,0.1,0.0
cooperative,True,5,1,0.22186493873596191,24,-384.0,-384.0,0.1,0.0
cooperative,True,5,2,0.22186493873596191,24,-384.0,-384.0,0.1,0.0
cooperative,True,5,3,0.22186493873596191,24,-384.0,-384.0,0.1,0.0
cooperative,True,5,4,0.22186493873596191,24,-384.0,-384.0,0.1,0.0
cooperative,True,5,5,0.22186493873596191,24,-384.0,-384.0,0.1,0.0
cooperative,False,1,1,0.39908504486083984,4,-200.0,-200.0,0.1,0.0
cooperative,False,1,2,0.39908504486083984,4,-200.0,-200.0,0.1,0.0
cooperative,False,1,3,0.39908504486083984,4,-200.0,-200.0,0.1,0.0
cooperative,False,1,4,0.39908504486083984,4,-200.0,-200.0,0.1,0.0
cooperative,False,1,5,0.39908504486083984,4,-200.0,-200.0,0.1,0.0
cooperative,False,2,1,0.8811159133911133,9,-246.0,-246.0,0.1,0.0
cooperative,False,2,2,0.8811159133911133,9,-246.0,-246.0,0.1,0.0
cooperative,False,2,3,0.8811159133911133,9,-246.0,-246.0,0.1,0.0
cooperative,False,2,4,0.8811159133911133,9,-246.0,-246.0,0.1,0.0
cooperative,False,2,5,0.8811159133911133,9,-246.0,-246.0,0.1,0.0
cooperative,False,3,1,1.434744119644165,14,-292.0,-292.0,0.1,0.0
cooperative,False,3,2,1.434744119644165,14,-292.0,-292.0,0.1,0.0
cooperative,False,3,3,1.434744119644165,14,-292.0,-292.0,0.1,0.0
cooperative,False,3,4,1.434744119644165,14,-292.0,-292.0,0.1,0.0
cooperative,False,3,5,1.434744119644165,14,-292.0,-292.0,0.1,0.0
cooperative,False,4,1,1.9009661674499512,19,-338.0,-338.0,0.1,0.0
cooperative,False,4,2,1.9009661674499512,19,-338.0,-338.0,0.1,0.0
cooperative,False,4,3,1.9009661674499512,19,-338.0,-338.0,0.1,0.0
cooperative,False,4,4,1.9009661674499512,19,-338.0,-338.0,0.1,0.0
cooperative,False,4,5,1.9009661674499512,19,-338.0,-338.0,0.1,0.0
cooperative,False,5,1,2.3986730575561523,24,-384.0,-384.0,0.1,0.0
cooperative,False,5,2,2.3986730575561523,24,-384.0,-384.0,0.1,0.0
cooperative,False,5,3,2.3986730575561523,24,-384.0,-384.0,0.1,0.0
cooperative,False,5,4,2.3986730575561523,24,-384.0,-384.0,0.1,0.0
cooperative,False,5,5,2.3986730575561523,24,-384.0,-384.0,0.1,0.0
stackelberg,True,1,1,0.36415719985961914,4,-125.89375648913044,-56.274312157768755,0.1,69.61944433136168
stackelberg,True,1,2,0.36415719985961914,4,-125.89375648913044,-56.274312157768755,0.1,69.61944433136168
stackelberg,True,1,3,0.36415719985961914,4,-125.89375648913044,-56.274312157768755,0.1,69.61944433136168
stackelberg,True,1,4,0.36415719985961914,4,-125.89375648913044,-56.274312157768755,0.1,69.61944433136168
stackelberg,True,1,5,0.36415719985961914,4,-125.89375648913044,-56.274312157768755,0.1,69.61944433136168
stackelberg,True,2,1,0.7562451362609863,9,-165.47596672603325,-56.274312157768755,0.1,109.2016545682645
stackelberg,True,2,2,0.7562451362609863,9,-165.47596672603325,-56.274312157768755,0.1,109.2016545682645
stackelberg,True,2,3,0.7562451362609863,9,-165.47596672603325,-56.274312157768755,0.1,109.2016545682645
stackelberg,True,2,4,0.7562451362609863,9,-165.47596672603325,-56.274312157768755,0.1,109.2016545682645
stackelberg,True,2,5,0.7562451362609863,9,-165.47596672603325,-56.274312157768755,0.1,109.2016545682645
stackelberg,True,3,1,1.2346620559692383,14,-205.04941895987056,-56.274312157768755,0.1,148.77510680210182
stackelberg,True,3,2,1.2346620559692383,14,-205.04941895987056,-56.274312157768755,0.1,148.77510680210182
stackelberg,True,3,3,1.2346620559692383,14,-205.04941895987056,-56.274312157768755,0.1,148.77510680210182
stackelberg,True,3,4,1.2346620559692383,14,-205.04941895987056,-56.274312157768755,0.1,148.77510680210182
stackelberg,True,3,5,1.2346620559692383,14,-205.04941895987056,-56.274312157768755,0.1,148.77510680210182
stackelberg,True,4,1,1.6020171642303467,19,-244.63162919677347,-56.274312157768755,0.1,188.35731703900473
stackelberg,True,4,2,1.6020171642303467,19,-244.63162919677347,-56.274312157768755,0.1,188.35731703900473
stackelberg,True,4,3,1.6020171642303467,19,-244.63162919677347,-56.274312157768755,0.1,188.35731703900473
stackelberg,True,4,4,1.6020171642303467,19,-244.63162919677347,-56.274312157768755,0.1,188.35731703900473
stackelberg,True,4,5,1.6020171642303467,19,-244.63162919677347,-56.274312157768755,0.1,188.35731703900473
stackelberg,True,5,1,2.3495540618896484,24,-284.2138394336762,-56.274312157768755,0.1,227.93952727590744
stackelberg,True,5,2,2.3495540618896484,24,-284.2138394336762,-56.274312157768755,0.1,227.93952727590744
stackelberg,True,5,3,2.3495540618896484,24,-284.2138394336762,-56.274312157768755,0.1,227.93952727590744
stackelberg,True,5,4,2.3495540618896484,24,-284.2138394336762,-56.274312157768755,0.1,227.93952727590744
stackelberg,True,5,5,2.3495540618896484,24,-284.2138394336762,-56.274312157768755,0.1,227.93952727590744
