gametype;SOTA;horizon;num_iterations;average_time;number_of_beliefs;leader_value_b0;follower_value_b0;density;gap
cooperative;TRUE;1;1;0.01921820640563965;3;-11.0;-11.0;0.1;0.0
cooperative;TRUE;1;2;0.01921820640563965;3;-11.0;-11.0;0.1;0.0
cooperative;TRUE;1;3;0.01921820640563965;3;-11.0;-11.0;0.1;0.0
cooperative;TRUE;1;4;0.01921820640563965;3;-11.0;-11.0;0.1;0.0
cooperative;TRUE;1;5;0.01921820640563965;3;-11.0;-11.0;0.1;0.0
cooperative;TRUE;1;6;0.01921820640563965;3;-11.0;-11.0;0.1;0.0
cooperative;TRUE;1;7;0.01921820640563965;3;-11.0;-11.0;0.1;0.0
cooperative;TRUE;1;8;0.01921820640563965;3;-11.0;-11.0;0.1;0.0
cooperative;TRUE;1;9;0.01921820640563965;3;-11.0;-11.0;0.1;0.0
cooperative;TRUE;1;10;0.01921820640563965;3;-11.0;-11.0;0.1;0.0
cooperative;TRUE;2;1;0.03042912483215332;5;-21.0;-21.0;0.1;0.0
cooperative;TRUE;2;2;0.03042912483215332;5;-21.0;-21.0;0.1;0.0
cooperative;TRUE;2;3;0.03042912483215332;5;-21.0;-21.0;0.1;0.0
cooperative;TRUE;2;4;0.03042912483215332;5;-21.0;-21.0;0.1;0.0
cooperative;TRUE;2;5;0.03042912483215332;5;-21.0;-21.0;0.1;0.0
cooperative;TRUE;2;6;0.03042912483215332;5;-21.0;-21.0;0.1;0.0
cooperative;TRUE;2;7;0.03042912483215332;5;-21.0;-21.0;0.1;0.0
cooperative;TRUE;2;8;0.03042912483215332;5;-21.0;-21.0;0.1;0.0
cooperative;TRUE;2;9;0.03042912483215332;5;-21.0;-21.0;0.1;0.0
cooperative;TRUE;2;10;0.03042912483215332;5;-21.0;-21.0;0.1;0.0
cooperative;TRUE;3;1;0.04329085350036621;7;-22.0;-22.0;0.1;0.0
cooperative;TRUE;3;2;0.04329085350036621;7;-22.0;-22.0;0.1;0.0
cooperative;TRUE;3;3;0.04329085350036621;7;-22.0;-22.0;0.1;0.0
cooperative;TRUE;3;4;0.04329085350036621;7;-22.0;-22.0;0.1;0.0
cooperative;TRUE;3;5;0.04329085350036621;7;-22.0;-22.0;0.1;0.0
cooperative;TRUE;3;6;0.04329085350036621;7;-22.0;-22.0;0.1;0.0
cooperative;TRUE;3;7;0.04329085350036621;7;-22.0;-22.0;0.1;0.0
cooperative;TRUE;3;8;0.04329085350036621;7;-22.0;-22.0;0.1;0.0
cooperative;TRUE;3;9;0.04329085350036621;7;-22.0;-22.0;0.1;0.0
cooperative;TRUE;3;10;0.04329085350036621;7;-22.0;-22.0;0.1;0.0
cooperative;TRUE;4;1;0.05817437171936035;9;-32.0;-32.0;0.1;0.0
cooperative;TRUE;4;2;0.05817437171936035;9;-32.0;-32.0;0.1;0.0
cooperative;TRUE;4;3;0.05817437171936035;9;-32.0;-32.0;0.1;0.0
cooperative;TRUE;4;4;0.05817437171936035;9;-32.0;-32.0;0.1;0.0
cooperative;TRUE;4;5;0.05817437171936035;9;-32.0;-32.0;0.1;0.0
cooperative;TRUE;4;6;0.05817437171936035;9;-32.0;-32.0;0.1;0.0
cooperative;TRUE;4;7;0.05817437171936035;9;-32.0;-32.0;0.1;0.0
cooperative;TRUE;4;8;0.05817437171936035;9;-32.0;-32.0;0.1;0.0
cooperative;TRUE;4;9;0.05817437171936035;9;-32.0;-32.0;0.1;0.0
cooperative;TRUE;4;10;0.05817437171936035;9;-32.0;-32.0;0.1;0.0
cooperative;TRUE;5;1;0.06964564323425293;11;-33.0;-33.0;0.1;0.0
cooperative;TRUE;5;2;0.06964564323425293;11;-33.0;-33.0;0.1;0.0
cooperative;TRUE;5;3;0.06964564323425293;11;-33.0;-33.0;0.1;0.0
cooperative;TRUE;5;4;0.06964564323425293;11;-33.0;-33.0;0.1;0.0
cooperative;TRUE;5;5;0.06964564323425293;11;-33.0;-33.0;0.1;0.0
cooperative;TRUE;5;6;0.06964564323425293;11;-33.0;-33.0;0.1;0.0
cooperative;TRUE;5;7;0.06964564323425293;11;-33.0;-33.0;0.1;0.0
cooperative;TRUE;5;8;0.06964564323425293;11;-33.0;-33.0;0.1;0.0
cooperative;TRUE;5;9;0.06964564323425293;11;-33.0;-33.0;0.1;0.0
cooperative;TRUE;5;10;0.06964564323425293;11;-33.0;-33.0;0.1;0.0
cooperative;TRUE;6;1;0.08267998695373535;13;-43.0;-43.0;0.1;0.0
cooperative;TRUE;6;2;0.08267998695373535;13;-43.0;-43.0;0.1;0.0
cooperative;TRUE;6;3;0.08267998695373535;13;-43.0;-43.0;0.1;0.0
cooperative;TRUE;6;4;0.08267998695373535;13;-43.0;-43.0;0.1;0.0
cooperative;TRUE;6;5;0.08267998695373535;13;-43.0;-43.0;0.1;0.0
cooperative;TRUE;6;6;0.08267998695373535;13;-43.0;-43.0;0.1;0.0
cooperative;TRUE;6;7;0.08267998695373535;13;-43.0;-43.0;0.1;0.0
cooperative;TRUE;6;8;0.08267998695373535;13;-43.0;-43.0;0.1;0.0
cooperative;TRUE;6;9;0.08267998695373535;13;-43.0;-43.0;0.1;0.0
cooperative;TRUE;6;10;0.08267998695373535;13;-43.0;-43.0;0.1;0.0
cooperative;TRUE;7;1;0.0952606201171875;15;-44.0;-44.0;0.1;0.0
cooperative;TRUE;7;2;0.0952606201171875;15;-44.0;-44.0;0.1;0.0
cooperative;TRUE;7;3;0.0952606201171875;15;-44.0;-44.0;0.1;0.0
cooperative;TRUE;7;4;0.0952606201171875;15;-44.0;-44.0;0.1;0.0
cooperative;TRUE;7;5;0.0952606201171875;15;-44.0;-44.0;0.1;0.0
cooperative;TRUE;7;6;0.0952606201171875;15;-44.0;-44.0;0.1;0.0
cooperative;TRUE;7;7;0.0952606201171875;15;-44.0;-44.0;0.1;0.0
cooperative;TRUE;7;8;0.0952606201171875;15;-44.0;-44.0;0.1;0.0
cooperative;TRUE;7;9;0.0952606201171875;15;-44.0;-44.0;0.1;0.0
cooperative;TRUE;7;10;0.0952606201171875;15;-44.0;-44.0;0.1;0.0
cooperative;TRUE;8;1;0.10856866836547852;17;-54.0;-54.0;0.1;0.0
cooperative;TRUE;8;2;0.10856866836547852;17;-54.0;-54.0;0.1;0.0
cooperative;TRUE;8;3;0.10856866836547852;17;-54.0;-54.0;0.1;0.0
cooperative;TRUE;8;4;0.10856866836547852;17;-54.0;-54.0;0.1;0.0
cooperative;TRUE;8;5;0.10856866836547852;17;-54.0;-54.0;0.1;0.0
cooperative;TRUE;8;6;0.10856866836547852;17;-54.0;-54.0;0.1;0.0
cooperative;TRUE;8;7;0.10856866836547852;17;-54.0;-54.0;0.1;0.0
cooperative;TRUE;8;8;0.10856866836547852;17;-54.0;-54.0;0.1;0.0
cooperative;TRUE;8;9;0.10856866836547852;17;-54.0;-54.0;0.1;0.0
cooperative;TRUE;8;10;0.10856866836547852;17;-54.0;-54.0;0.1;0.0
cooperative;TRUE;9;1;0.12178897857666016;19;-55.0;-55.0;0.1;0.0
cooperative;TRUE;9;2;0.12178897857666016;19;-55.0;-55.0;0.1;0.0
cooperative;TRUE;9;3;0.12178897857666016;19;-55.0;-55.0;0.1;0.0
cooperative;TRUE;9;4;0.12178897857666016;19;-55.0;-55.0;0.1;0.0
cooperative;TRUE;9;5;0.12178897857666016;19;-55.0;-55.0;0.1;0.0
cooperative;TRUE;9;6;0.12178897857666016;19;-55.0;-55.0;0.1;0.0
cooperative;TRUE;9;7;0.12178897857666016;19;-55.0;-55.0;0.1;0.0
cooperative;TRUE;9;8;0.12178897857666016;19;-55.0;-55.0;0.1;0.0
cooperative;TRUE;9;9;0.12178897857666016;19;-55.0;-55.0;0.1;0.0
cooperative;TRUE;9;10;0.12178897857666016;19;-55.0;-55.0;0.1;0.0
cooperative;TRUE;10;1;0.13416171073913574;21;-65.0;-65.0;0.1;0.0
cooperative;TRUE;10;2;0.13416171073913574;21;-65.0;-65.0;0.1;0.0
cooperative;TRUE;10;3;0.13416171073913574;21;-65.0;-65.0;0.1;0.0
cooperative;TRUE;10;4;0.13416171073913574;21;-65.0;-65.0;0.1;0.0
cooperative;TRUE;10;5;0.13416171073913574;21;-65.0;-65.0;0.1;0.0
cooperative;TRUE;10;6;0.13416171073913574;21;-65.0;-65.0;0.1;0.0
cooperative;TRUE;10;7;0.13416171073913574;21;-65.0;-65.0;0.1;0.0
cooperative;TRUE;10;8;0.13416171073913574;21;-65.0;-65.0;0.1;0.0
cooperative;TRUE;10;9;0.13416171073913574;21;-65.0;-65.0;0.1;0.0
cooperative;TRUE;10;10;0.13416171073913574;21;-65.0;-65.0;0.1;0.0
cooperative;FALSE;1;1;0.6105148792266846;3;-20.0;-20.0;0.1;0.0
cooperative;FALSE;1;2;0.6105148792266846;3;-20.0;-20.0;0.1;0.0
cooperative;FALSE;1;3;0.6105148792266846;3;-20.0;-20.0;0.1;0.0
cooperative;FALSE;1;4;0.6105148792266846;3;-20.0;-20.0;0.1;0.0
cooperative;FALSE;1;5;0.6105148792266846;3;-20.0;-20.0;0.1;0.0
cooperative;FALSE;1;6;0.6105148792266846;3;-20.0;-20.0;0.1;0.0
cooperative;FALSE;1;7;0.6105148792266846;3;-20.0;-20.0;0.1;0.0
cooperative;FALSE;1;8;0.6105148792266846;3;-20.0;-20.0;0.1;0.0
cooperative;FALSE;1;9;0.6105148792266846;3;-20.0;-20.0;0.1;0.0
cooperative;FALSE;1;10;0.6105148792266846;3;-20.0;-20.0;0.1;0.0
cooperative;FALSE;2;1;1.8486051559448242;5;-30.0;-30.0;0.1;0.0
cooperative;FALSE;2;2;1.8486051559448242;5;-30.0;-30.0;0.1;0.0
cooperative;FALSE;2;3;1.8486051559448242;5;-30.0;-30.0;0.1;0.0
cooperative;FALSE;2;4;1.8486051559448242;5;-30.0;-30.0;0.1;0.0
cooperative;FALSE;2;5;1.8486051559448242;5;-30.0;-30.0;0.1;0.0
cooperative;FALSE;2;6;1.8486051559448242;5;-30.0;-30.0;0.1;0.0
cooperative;FALSE;2;7;1.8486051559448242;5;-30.0;-30.0;0.1;0.0
cooperative;FALSE;2;8;1.8486051559448242;5;-30.0;-30.0;0.1;0.0
