gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0,density,gap
cooperative,True,1,2,0.07164597511291504,6,-51.8,-51.8,0.1,0.0
cooperative,True,2,2,0.1858830451965332,25,-53.599999999999994,-53.599999999999994,0.1,0.0
cooperative,False,1,2,0.19904303550720215,6,-51.8,-51.8,0.1,0.0
cooperative,False,2,2,0.6640219688415527,25,-53.599999999999994,-53.599999999999994,0.1,0.0
stackelberg,True,1,2,0.17282509803771973,6,-50.2,-47.0,0.1,3.200000000000003
stackelberg,True,2,2,0.5335028171539307,25,-50.400000000000006,-47.0,0.1,3.4000000000000057
stackelberg,False,1,2,0.16512608528137207,6,-51.8,57.2,0.1,109.0
stackelberg,False,2,2,0.5994908809661865,25,-53.599999999999994,53.60000000000001,0.1,107.2
zerosum,True,1,2,0.22278094291687012,6,-50.2,-50.2,0.1,0.0
zerosum,True,2,2,0.6810081005096436,25,-50.400000000000006,-50.400000000000006,0.1,0.0
zerosum,False,1,2,0.1790471076965332,6,-51.8,51.8,0.1,103.6
zerosum,False,2,2,0.6602060794830322,25,-53.599999999999994,53.599999999999994,0.1,107.19999999999999
