gametype,SOTA,horizon,num_iterations,average_time,number_of_beliefs,leader_value_b0,follower_value_b0,density,gap
cooperative,True,1,2,0.14586281776428223,6,-51.8,-51.8,0.1,0.0
cooperative,True,2,2,0.6161248683929443,25,-53.6,-53.6,0.1,0.0
cooperative,True,3,2,1.6991369724273682,46,-55.4,-55.4,0.1,0.0
cooperative,True,4,2,2.9096121788024902,68,-57.2,-57.2,0.1,0.0
cooperative,True,5,2,4.17212986946106,90,-59.0,-59.0,0.1,0.0
cooperative,False,1,2,0.7180988788604736,6,-51.8,-51.8,0.1,0.0
cooperative,False,2,2,3.13718318939209,25,-53.6,-53.6,0.1,0.0
cooperative,False,3,2,7.0388877391815186,46,-55.4,-55.4,0.1,0.0
cooperative,False,4,2,13.133486032485962,68,-57.2,-57.2,0.1,0.0
cooperative,False,5,2,16.8373019695282,90,-59.0,-59.0,0.1,0.0
stackelberg,True,1,2,0.5747251510620117,6,-50.2,-47.0,0.1,3.200000000000003
stackelberg,True,2,2,2.640619993209839,25,-50.400000000000006,-47.0,0.1,3.4000000000000057
stackelberg,True,3,2,5.028113842010498,46,-50.599999999999994,-47.0,0.1,3.5999999999999943
stackelberg,True,4,2,7.965702772140503,68,-50.8,-47.0,0.1,3.799999999999997
stackelberg,True,5,2,10.907078742980957,90,-51.0,-47.0,0.1,4.0
stackelberg,False,1,2,0.6403477191925049,6,-51.8,57.2,0.1,109.0
stackelberg,False,2,2,2.8323049545288086,25,-53.6,53.60000000000001,0.1,107.20000000000002
stackelberg,False,3,2,6.699799060821533,46,-55.4,50.0,0.1,105.4
stackelberg,False,4,2,12.398641109466553,68,-57.2,46.400000000000006,0.1,103.60000000000001
stackelberg,False,5,2,16.150105953216553,90,-59.0,42.8,0.1,101.8
zerosum,True,1,2,0.7692689895629883,6,-50.2,-50.2,0.1,0.0
zerosum,True,2,2,3.4156081676483154,25,-50.400000000000006,-50.400000000000006,0.1,0.0
zerosum,True,3,2,7.288133144378662,46,-50.599999999999994,-50.599999999999994,0.1,0.0
zerosum,True,4,2,10.780811071395874,68,-50.8,-50.8,0.1,0.0
zerosum,True,5,2,14.71916127204895,90,-51.0,-51.0,0.1,0.0
zerosum,False,1,2,0.7839128971099854,6,-51.8,51.8,0.1,103.6
zerosum,False,2,2,3.3241608142852783,25,-53.6,53.6,0.1,107.2
zerosum,False,3,2,7.238799095153809,46,-55.4,55.4,0.1,110.8
zerosum,False,4,2,11.50829792022705,68,-57.2,57.2,0.1,114.4
zerosum,False,5,2,15.464715003967285,90,-59.0,59.0,0.1,118.0
